Issue Type,Issue key,Issue id,Summary,Status,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Подготовка актов и счетов,BUH-111627,1203846,Выставление актов: YKVUAE2500006,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,08.12.2025 14:36,,,n.chubukinasolovey,,D_YKVUAE2500010/1,30.11.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-111539,1203137,Выставление актов: CBQ2500003,Closed,,aleksandr.prilepskiy,06.03.2026 09:54,Исправлено/Выполнено,n.chubukinasolovey,05.12.2025 14:54,05.03.2026 00:00,,n.chubukinasolovey,,D_CBQ2500006/2,30.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-111538,1203131,Выставление актов: CBQ2500003,Closed,,aleksandr.prilepskiy,30.01.2026 10:14,Исправлено/Выполнено,n.chubukinasolovey,05.12.2025 14:45,29.01.2026 00:00,,n.chubukinasolovey,,D_CBQ2500006/1,30.11.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-111421,1202528,Выставление актов: YKVUAE2500006,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,04.12.2025 13:34,,,n.chubukinasolovey,,D_YKVUAE2500017/1,12.12.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-111419,1202526,Выставление актов: YKVUAE2500008,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,04.12.2025 13:31,,,n.chubukinasolovey,,D_YKVUAE2500014/2,05.12.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-110884,1198035,Выставление актов: YKVUAE2500007,Waiting for Pay,,sofiya.adzhiniyazova,,,ekaterina.fomina,26.11.2025 12:10,,,n.chubukinasolovey,,D_YKVUAE2500013/2,31.10.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-110453,1194800,Выставление актов: YKVUAE2500008,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,18.11.2025 14:46,,,n.chubukinasolovey,,D_YKVUAE2500014/1,14.11.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-109839,1190285,Выставление актов: YKVUAE2500006,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,06.11.2025 12:46,,,n.chubukinasolovey,,D_YKVUAE2500011/1,31.10.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-109473,1184998,Выставление актов: YKVUAE2500007,Closed,,sofiya.adzhiniyazova,16.01.2026 15:52,Исправлено/Выполнено,n.chubukinasolovey,29.10.2025 13:38,08.12.2025 00:00,,n.chubukinasolovey,,D_YKVUAE2500013/1,21.10.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
Подготовка актов и счетов,BUH-108422,1174931,Выставление актов: YKVUAE2500005,Closed,,sofiya.adzhiniyazova,19.01.2026 16:30,Исправлено/Выполнено,ekaterina.fomina,06.10.2025 18:54,08.12.2025 00:00,,mariya.saveleva,,D_YKVUAE2500008/1,10.10.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
